date,participant,trial,nTarg,targOnset,targFlash,targRT,targCor,targGap,FA_rt,isPrac,isStationary
2021-11-12,davidarvo,22,8,4.216363,2,4.730146,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,22,8,5.10648,2,5.683729,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,22,8,5.996022,2,6.740135,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,22,8,6.906112,1,7.357432,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,22,8,7.749234,2,8.289877,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,23,8,1.631218,2,2.104452,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,23,8,2.518297,2,3.149276,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,23,8,3.421187,1,3.930984,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,23,8,4.263865,1,4.819584,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,23,8,5.107548,1,5.784923,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,23,8,5.951183,1,6.62995,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,23,8,6.791563,2,7.428463,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,23,8,7.684008,1,8.295124,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,24,8,1.773244,2,2.597305,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,24,8,2.663943,1,3.324345,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,24,8,3.518382,2,4.005423,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,24,8,4.410155,1,4.874291,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,24,8,5.251645,2,5.755226,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,24,8,6.318002,2,6.826159,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,24,8,7.216448,1,7.750027,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,24,8,8.058663,2,8.662951,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,25,8,1.798352,1,2.342539,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,25,8,2.642011,2,3.100296,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,25,8,3.528708,2,3.991414,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,25,8,4.42969,1,4.992872,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,25,8,5.285606,2,5.994865,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,25,8,6.36544,2,6.862115,1,0.01250001,NaN,0,0
